source_key,name,country,primary_language,source_type,status,priority,website_url,metadata_json
phase1-rss-011,Prime Minister's Office (Kantei / 首相官邸),Japan,ja,government,active,critical,https://www.kantei.go.jp/,"{""inventory_version"":""0.1"",""inventory_date"":""2026-07-19"",""inventory_phase"":1,""inventory_ingestion_method"":""Native RSS"",""inventory_regions"":[""Japan""],""inventory_sections"":[""Government, Executive, Defense, Security & Law Enforcement""],""organization_type"":""Executive office"",""orientation"":""Official"",""language_english"":""Japanese / EN: Yes"",""official_status"":""Yes - official Japanese government/institution"",""topics"":[""Prime minister"",""cabinet"",""speeches"",""policy""],""youtube_url"":null,""value_access_notes"":""Primary-source Japanese executive, legislative, legal, defense, security, or law-enforcement information. PDF/legacy HTML or decentralized subpages may require targeted monitors."",""seed_batch"":""phase1-native-rss-v0.1""}"
phase1-rss-012,Ryukyu Shimpo (琉球新報),Japan,ja,news,active,critical,https://ryukyushimpo.jp/,"{""inventory_version"":""0.1"",""inventory_date"":""2026-07-19"",""inventory_phase"":1,""inventory_ingestion_method"":""Native RSS"",""inventory_regions"":[""Japan""],""inventory_sections"":[""Defense, Military, Intelligence & Geopolitics""],""organization_type"":""Regional newspaper"",""orientation"":""Regional / center-left perceived"",""language_english"":""Japanese / EN: No"",""official_status"":""No"",""topics"":[""Okinawa"",""U.S. bases"",""politics"",""local society""],""youtube_url"":null,""value_access_notes"":""High-value Japanese national, regional, business, technology, investigative, or perspective source. Exact feed endpoints should be harvested from landing page."",""seed_batch"":""phase1-native-rss-v0.1""}"
phase1-rss-013,38 North,North Korea / DPRK Monitoring,en,news,active,critical,https://www.38north.org/,"{""inventory_version"":""0.1"",""inventory_date"":""2026-07-19"",""inventory_phase"":1,""inventory_ingestion_method"":""Native RSS"",""inventory_regions"":[""North Korea / DPRK Monitoring""],""inventory_sections"":[""Think Tanks, Research Institutes & Universities""],""organization_type"":""Specialist North Korea publication"",""orientation"":""Independent / specialist"",""language_english"":""English/Multilingual / EN: Yes"",""official_status"":""No"",""topics"":[""Nuclear"",""missiles"",""satellite imagery"",""economy"",""policy""],""youtube_url"":null,""value_access_notes"":""High-value official, specialist, sanctions, nuclear, human-rights, or external DPRK monitoring source. Analysis-focused; preserve imagery/technical annexes."",""seed_batch"":""phase1-native-rss-v0.1""}"
phase1-rss-014,Daily NK,North Korea / DPRK Monitoring,en,news,active,critical,https://www.dailynk.com/,"{""inventory_version"":""0.1"",""inventory_date"":""2026-07-19"",""inventory_phase"":1,""inventory_ingestion_method"":""Native RSS"",""inventory_regions"":[""North Korea / DPRK Monitoring""],""inventory_sections"":[""Independent & Investigative Media""],""organization_type"":""Specialist North Korea publication"",""orientation"":""Independent / anti-regime reporting"",""language_english"":""English/Multilingual / EN: Yes"",""official_status"":""No"",""topics"":[""Inside DPRK"",""markets"",""border"",""human rights""],""youtube_url"":null,""value_access_notes"":""High-value official, specialist, sanctions, nuclear, human-rights, or external DPRK monitoring source. Source verification can be difficult by nature; track corroboration."",""seed_batch"":""phase1-native-rss-v0.1""}"
phase1-rss-015,NK Leadership Watch,North Korea / DPRK Monitoring,en,news,active,high,https://www.nkleadershipwatch.org/,"{""inventory_version"":""0.1"",""inventory_date"":""2026-07-19"",""inventory_phase"":1,""inventory_ingestion_method"":""Native RSS"",""inventory_regions"":[""North Korea / DPRK Monitoring""],""inventory_sections"":[""Other High-Value Sources""],""organization_type"":""Specialist research blog"",""orientation"":""Independent / specialist"",""language_english"":""English/Multilingual / EN: Yes"",""official_status"":""No"",""topics"":[""Leadership"",""elite politics"",""personnel""],""youtube_url"":null,""value_access_notes"":""High-value official, specialist, sanctions, nuclear, human-rights, or external DPRK monitoring source. Publishing cadence can be irregular."",""seed_batch"":""phase1-native-rss-v0.1""}"
phase1-rss-016,North Korea Tech,North Korea / DPRK Monitoring,en,news,active,high,https://www.northkoreatech.org/,"{""inventory_version"":""0.1"",""inventory_date"":""2026-07-19"",""inventory_phase"":1,""inventory_ingestion_method"":""Native RSS"",""inventory_regions"":[""North Korea / DPRK Monitoring""],""inventory_sections"":[""Technology & Cybersecurity""],""organization_type"":""Specialist technology publication"",""orientation"":""Independent / specialist"",""language_english"":""English/Multilingual / EN: Yes"",""official_status"":""No"",""topics"":[""DPRK internet"",""media"",""telecom"",""cyber""],""youtube_url"":null,""value_access_notes"":""High-value official, specialist, sanctions, nuclear, human-rights, or external DPRK monitoring source. Low-volume specialist source."",""seed_batch"":""phase1-native-rss-v0.1""}"
phase1-rss-017,ABS-CBN News,Philippines,en,news,active,critical,https://www.abs-cbn.com/news,"{""inventory_version"":""0.1"",""inventory_date"":""2026-07-19"",""inventory_phase"":1,""inventory_ingestion_method"":""Native RSS"",""inventory_regions"":[""Philippines""],""inventory_sections"":[""Major National / Political News""],""organization_type"":""Broadcast/digital news"",""orientation"":""Mainstream"",""language_english"":""English/Filipino / EN: Yes"",""official_status"":""No"",""topics"":[""Politics"",""breaking news"",""regions"",""business""],""youtube_url"":""https://www.youtube.com/@ABSCBNNews"",""value_access_notes"":""High-value Philippine national, regional, investigative, business, technology, or political source. RSS endpoint needs health-check after platform/site changes."",""seed_batch"":""phase1-native-rss-v0.1""}"
phase1-rss-018,BusinessWorld,Philippines,en,news,active,critical,https://www.bworldonline.com/,"{""inventory_version"":""0.1"",""inventory_date"":""2026-07-19"",""inventory_phase"":1,""inventory_ingestion_method"":""Native RSS"",""inventory_regions"":[""Philippines""],""inventory_sections"":[""Business & Financial News""],""organization_type"":""Business newspaper"",""orientation"":""Business-focused"",""language_english"":""English/Filipino / EN: Yes"",""official_status"":""No"",""topics"":[""Economy"",""companies"",""markets"",""policy""],""youtube_url"":null,""value_access_notes"":""High-value Philippine national, regional, investigative, business, technology, or political source. Some premium content."",""seed_batch"":""phase1-native-rss-v0.1""}"
phase1-rss-019,GMA News Online,Philippines,en,news,active,critical,https://www.gmanetwork.com/news/,"{""inventory_version"":""0.1"",""inventory_date"":""2026-07-19"",""inventory_phase"":1,""inventory_ingestion_method"":""Native RSS"",""inventory_regions"":[""Philippines""],""inventory_sections"":[""Major National / Political News""],""organization_type"":""Broadcast/digital news"",""orientation"":""Mainstream"",""language_english"":""English/Filipino / EN: Yes"",""official_status"":""No"",""topics"":[""Politics"",""regions"",""business"",""world"",""investigations""],""youtube_url"":""https://www.youtube.com/@gmanews"",""value_access_notes"":""High-value Philippine national, regional, investigative, business, technology, or political source. Harvest exact category feed endpoints from RSS page."",""seed_batch"":""phase1-native-rss-v0.1""}"
phase1-rss-020,Philippine Center for Investigative Journalism (PCIJ),Philippines,en,news,active,critical,https://pcij.org/,"{""inventory_version"":""0.1"",""inventory_date"":""2026-07-19"",""inventory_phase"":1,""inventory_ingestion_method"":""Native RSS"",""inventory_regions"":[""Philippines""],""inventory_sections"":[""Independent & Investigative Media""],""organization_type"":""Nonprofit investigative newsroom"",""orientation"":""Independent / nonprofit"",""language_english"":""English/Filipino / EN: Yes"",""official_status"":""No"",""topics"":[""Corruption"",""governance"",""elections"",""data journalism""],""youtube_url"":null,""value_access_notes"":""High-value Philippine national, regional, investigative, business, technology, or political source. Low-volume/high-value; archive datasets/documents."",""seed_batch"":""phase1-native-rss-v0.1""}"
phase1-rss-021,Philippine Daily Inquirer / Inquirer.net,Philippines,en,news,active,critical,https://www.inquirer.net/,"{""inventory_version"":""0.1"",""inventory_date"":""2026-07-19"",""inventory_phase"":1,""inventory_ingestion_method"":""Native RSS"",""inventory_regions"":[""Philippines""],""inventory_sections"":[""Major National / Political News""],""organization_type"":""Newspaper/digital"",""orientation"":""Mainstream"",""language_english"":""English/Filipino / EN: Yes"",""official_status"":""No"",""topics"":[""Politics"",""national"",""regions"",""business"",""opinion""],""youtube_url"":null,""value_access_notes"":""High-value Philippine national, regional, investigative, business, technology, or political source. Section feeds may live on subdomains."",""seed_batch"":""phase1-native-rss-v0.1""}"
phase1-rss-022,Rappler,Philippines,en,news,active,critical,https://www.rappler.com/,"{""inventory_version"":""0.1"",""inventory_date"":""2026-07-19"",""inventory_phase"":1,""inventory_ingestion_method"":""Native RSS"",""inventory_regions"":[""Philippines""],""inventory_sections"":[""Independent & Investigative Media""],""organization_type"":""Digital news organization"",""orientation"":""Independent / liberal-leaning perceived"",""language_english"":""English/Filipino / EN: Yes"",""official_status"":""No"",""topics"":[""Politics"",""elections"",""disinformation"",""investigations""],""youtube_url"":""https://www.youtube.com/@Rappler"",""value_access_notes"":""High-value Philippine national, regional, investigative, business, technology, or political source. Robots/anti-bot may affect crawlers; feed health-check."",""seed_batch"":""phase1-native-rss-v0.1""}"
phase1-rss-023,VERA Files,Philippines,en,news,active,critical,https://verafiles.org/,"{""inventory_version"":""0.1"",""inventory_date"":""2026-07-19"",""inventory_phase"":1,""inventory_ingestion_method"":""Native RSS"",""inventory_regions"":[""Philippines""],""inventory_sections"":[""Independent & Investigative Media""],""organization_type"":""Nonprofit investigative newsroom"",""orientation"":""Independent / nonprofit"",""language_english"":""English/Filipino / EN: Yes"",""official_status"":""No"",""topics"":[""Investigations"",""elections"",""fact checks"",""disinformation""],""youtube_url"":null,""value_access_notes"":""High-value Philippine national, regional, investigative, business, technology, or political source. Low-medium volume."",""seed_batch"":""phase1-native-rss-v0.1""}"
phase1-rss-024,Asan Institute for Policy Studies,South Korea,ko,research,active,high,https://www.asaninst.org/,"{""inventory_version"":""0.1"",""inventory_date"":""2026-07-19"",""inventory_phase"":1,""inventory_ingestion_method"":""Native RSS"",""inventory_regions"":[""South Korea""],""inventory_sections"":[""Think Tanks, Research Institutes & Universities""],""organization_type"":""Think tank"",""orientation"":""Center-right / policy institute"",""language_english"":""Korean / EN: Yes"",""official_status"":""No"",""topics"":[""Foreign policy"",""alliances"",""China"",""North Korea""],""youtube_url"":null,""value_access_notes"":""High-value monitoring source for the platform."",""seed_batch"":""phase1-native-rss-v0.1""}"
phase1-rss-025,BusinessKorea,South Korea,en,news,active,high,https://www.businesskorea.co.kr/,"{""inventory_version"":""0.1"",""inventory_date"":""2026-07-19"",""inventory_phase"":1,""inventory_ingestion_method"":""Native RSS"",""inventory_regions"":[""South Korea""],""inventory_sections"":[""Technology & Cybersecurity""],""organization_type"":""Business English-language publication"",""orientation"":""Business-focused"",""language_english"":""English / EN: Yes"",""official_status"":""No"",""topics"":[""Semiconductors"",""companies"",""industry"",""economy""],""youtube_url"":null,""value_access_notes"":""High-value Korean national, political, investigative, business, technology, or perspective source."",""seed_batch"":""phase1-native-rss-v0.1""}"
phase1-rss-026,Electronic Times (전자신문),South Korea,ko,news,active,critical,https://www.etnews.com/,"{""inventory_version"":""0.1"",""inventory_date"":""2026-07-19"",""inventory_phase"":1,""inventory_ingestion_method"":""Native RSS"",""inventory_regions"":[""South Korea""],""inventory_sections"":[""Technology & Cybersecurity""],""organization_type"":""Technology newspaper"",""orientation"":""Technology/business specialist"",""language_english"":""Korean / EN: Limited"",""official_status"":""No"",""topics"":[""Technology"",""semiconductors"",""telecom"",""cybersecurity""],""youtube_url"":null,""value_access_notes"":""High-value Korean national, political, investigative, business, technology, or perspective source. Some HTTP feed endpoints."",""seed_batch"":""phase1-native-rss-v0.1""}"
phase1-rss-027,KBS World Radio News,South Korea,en,news,active,critical,https://world.kbs.co.kr/,"{""inventory_version"":""0.1"",""inventory_date"":""2026-07-19"",""inventory_phase"":1,""inventory_ingestion_method"":""Native RSS"",""inventory_regions"":[""South Korea""],""inventory_sections"":[""Major National / Political News""],""organization_type"":""Public international broadcaster"",""orientation"":""Public broadcaster / mainstream"",""language_english"":""English / EN: Yes"",""official_status"":""No"",""topics"":[""Korea politics"",""economy"",""diplomacy"",""North Korea""],""youtube_url"":null,""value_access_notes"":""High-value Korean national, political, investigative, business, technology, or perspective source. Older HTTP feed endpoints; health-check."",""seed_batch"":""phase1-native-rss-v0.1""}"
phase1-rss-028,Kyunghyang Shinmun (경향신문),South Korea,ko,news,active,high,https://www.khan.co.kr/,"{""inventory_version"":""0.1"",""inventory_date"":""2026-07-19"",""inventory_phase"":1,""inventory_ingestion_method"":""Native RSS"",""inventory_regions"":[""South Korea""],""inventory_sections"":[""Political / Ideological & YouTube Media""],""organization_type"":""Newspaper"",""orientation"":""Progressive / center-left"",""language_english"":""Korean / EN: Limited"",""official_status"":""No"",""topics"":[""Politics"",""society"",""economy"",""opinion""],""youtube_url"":null,""value_access_notes"":""High-value Korean national, political, investigative, business, technology, or perspective source."",""seed_batch"":""phase1-native-rss-v0.1""}"
phase1-rss-029,Maeil Business Newspaper (매일경제),South Korea,ko,news,active,critical,https://www.mk.co.kr/,"{""inventory_version"":""0.1"",""inventory_date"":""2026-07-19"",""inventory_phase"":1,""inventory_ingestion_method"":""Native RSS"",""inventory_regions"":[""South Korea""],""inventory_sections"":[""Business & Financial News""],""organization_type"":""Business newspaper"",""orientation"":""Business-focused / market-oriented"",""language_english"":""Korean / EN: Yes"",""official_status"":""No"",""topics"":[""Markets"",""companies"",""economy"",""politics""],""youtube_url"":null,""value_access_notes"":""High-value Korean national, political, investigative, business, technology, or perspective source. Premium content may apply."",""seed_batch"":""phase1-native-rss-v0.1""}"
phase1-rss-030,National Election Commission (중앙선거관리위원회),South Korea,ko,government,active,critical,https://www.nec.go.kr/,"{""inventory_version"":""0.1"",""inventory_date"":""2026-07-19"",""inventory_phase"":1,""inventory_ingestion_method"":""Native RSS"",""inventory_regions"":[""South Korea""],""inventory_sections"":[""Legislatures, Courts & Election Authorities""],""organization_type"":""Election commission"",""orientation"":""Official"",""language_english"":""Korean / EN: Limited"",""official_status"":""Yes - official South Korean government/institution"",""topics"":[""Elections"",""rules"",""press releases"",""fact checks""],""youtube_url"":null,""value_access_notes"":""Primary-source South Korean government, legal, election, defense, or security information. Feeds delivered through Newsloth; monitor dependency."",""seed_batch"":""phase1-native-rss-v0.1""}"
phase1-rss-031,Newsis (뉴시스),South Korea,ko,news_agency,active,critical,https://www.newsis.com/,"{""inventory_version"":""0.1"",""inventory_date"":""2026-07-19"",""inventory_phase"":1,""inventory_ingestion_method"":""Native RSS"",""inventory_regions"":[""South Korea""],""inventory_sections"":[""Regional & Local News""],""organization_type"":""News agency"",""orientation"":""Mainstream / wire"",""language_english"":""Korean / EN: Limited"",""official_status"":""No"",""topics"":[""Breaking"",""politics"",""international"",""economy"",""regional""],""youtube_url"":null,""value_access_notes"":""High-value Korean national, political, investigative, business, technology, or perspective source. Feed is discovery layer; section feeds available."",""seed_batch"":""phase1-native-rss-v0.1""}"
phase1-rss-032,OhmyNews (오마이뉴스),South Korea,ko,news,active,high,https://www.ohmynews.com/,"{""inventory_version"":""0.1"",""inventory_date"":""2026-07-19"",""inventory_phase"":1,""inventory_ingestion_method"":""Native RSS"",""inventory_regions"":[""South Korea""],""inventory_sections"":[""Independent & Investigative Media""],""organization_type"":""Digital/citizen journalism outlet"",""orientation"":""Progressive / left-leaning"",""language_english"":""Korean / EN: Limited"",""official_status"":""No"",""topics"":[""Politics"",""society"",""citizen journalism"",""opinion""],""youtube_url"":""https://www.youtube.com/@OhmynewsTV"",""value_access_notes"":""High-value Korean national, political, investigative, business, technology, or perspective source. Distinguish citizen contributions/opinion from staff reporting."",""seed_batch"":""phase1-native-rss-v0.1""}"
phase1-rss-033,SBS News,South Korea,ko,news,active,critical,https://news.sbs.co.kr/,"{""inventory_version"":""0.1"",""inventory_date"":""2026-07-19"",""inventory_phase"":1,""inventory_ingestion_method"":""Native RSS"",""inventory_regions"":[""South Korea""],""inventory_sections"":[""Major National / Political News""],""organization_type"":""Commercial broadcaster"",""orientation"":""Mainstream"",""language_english"":""Korean / EN: Limited"",""official_status"":""No"",""topics"":[""Politics"",""society"",""economy"",""world"",""video""],""youtube_url"":""https://www.youtube.com/@SBSnews8"",""value_access_notes"":""High-value Korean national, political, investigative, business, technology, or perspective source. Review RSS reuse terms."",""seed_batch"":""phase1-native-rss-v0.1""}"
phase1-rss-034,Central News Agency (中央通訊社 / CNA),Taiwan,zh-Hant,news_agency,active,critical,https://www.cna.com.tw/,"{""inventory_version"":""0.1"",""inventory_date"":""2026-07-19"",""inventory_phase"":1,""inventory_ingestion_method"":""Native RSS"",""inventory_regions"":[""Taiwan""],""inventory_sections"":[""Regional & Local News""],""organization_type"":""National news agency"",""orientation"":""Mainstream / national wire"",""language_english"":""Traditional Chinese / EN: Yes"",""official_status"":""No"",""topics"":[""Politics"",""cross-strait"",""world"",""economy"",""technology""],""youtube_url"":null,""value_access_notes"":""High-value Taiwan national, cross-strait, investigative, technology, business, or political-perspective source. RSS terms restrict noncommercial reuse; use internally with attribution."",""seed_batch"":""phase1-native-rss-v0.1""}"
phase1-rss-035,Liberty Times (自由時報),Taiwan,zh-Hant,news,active,critical,https://www.ltn.com.tw/,"{""inventory_version"":""0.1"",""inventory_date"":""2026-07-19"",""inventory_phase"":1,""inventory_ingestion_method"":""Native RSS"",""inventory_regions"":[""Taiwan""],""inventory_sections"":[""Political / Ideological & YouTube Media""],""organization_type"":""Newspaper"",""orientation"":""Pan-green / Taiwan-localist leaning"",""language_english"":""Traditional Chinese / EN: Limited"",""official_status"":""No"",""topics"":[""Politics"",""defense"",""local"",""cross-strait"",""world""],""youtube_url"":null,""value_access_notes"":""High-value Taiwan national, cross-strait, investigative, technology, business, or political-perspective source. RSS terms emphasize noncommercial use/attribution."",""seed_batch"":""phase1-native-rss-v0.1""}"
phase1-rss-036,Mainland Affairs Council (大陸委員會),Taiwan,zh-Hant,government,active,critical,https://www.mac.gov.tw/,"{""inventory_version"":""0.1"",""inventory_date"":""2026-07-19"",""inventory_phase"":1,""inventory_ingestion_method"":""Native RSS"",""inventory_regions"":[""Taiwan""],""inventory_sections"":[""Government, Executive, Defense, Security & Law Enforcement""],""organization_type"":""Cross-strait affairs agency"",""orientation"":""Official"",""language_english"":""Traditional Chinese / EN: Yes"",""official_status"":""Yes - official Taiwan government/institution"",""topics"":[""Cross-strait relations"",""China policy"",""statistics""],""youtube_url"":null,""value_access_notes"":""Primary-source Taiwan executive, legislative, election, defense, cross-strait, security, or legal information. Target specific release/index pages; some sites are dynamic."",""seed_batch"":""phase1-native-rss-v0.1""}"
phase1-rss-037,Ministry of Foreign Affairs (外交部),Taiwan,zh-Hant,government,active,critical,https://www.mofa.gov.tw/,"{""inventory_version"":""0.1"",""inventory_date"":""2026-07-19"",""inventory_phase"":1,""inventory_ingestion_method"":""Native RSS"",""inventory_regions"":[""Taiwan""],""inventory_sections"":[""Government, Executive, Defense, Security & Law Enforcement""],""organization_type"":""Foreign ministry"",""orientation"":""Official"",""language_english"":""Traditional Chinese / EN: Yes"",""official_status"":""Yes - official Taiwan government/institution"",""topics"":[""Diplomacy"",""statements"",""sanctions"",""international relations""],""youtube_url"":null,""value_access_notes"":""Primary-source Taiwan executive, legislative, election, defense, cross-strait, security, or legal information. Target specific release/index pages; some sites are dynamic."",""seed_batch"":""phase1-native-rss-v0.1""}"
phase1-rss-038,"Office of the President, Republic of China (Taiwan)",Taiwan,zh-Hant,government,active,critical,https://www.president.gov.tw/,"{""inventory_version"":""0.1"",""inventory_date"":""2026-07-19"",""inventory_phase"":1,""inventory_ingestion_method"":""Native RSS"",""inventory_regions"":[""Taiwan""],""inventory_sections"":[""Government, Executive, Defense, Security & Law Enforcement""],""organization_type"":""Executive office"",""orientation"":""Official"",""language_english"":""Traditional Chinese / EN: Yes"",""official_status"":""Yes - official Taiwan government/institution"",""topics"":[""Presidential statements"",""speeches"",""national security"",""appointments""],""youtube_url"":null,""value_access_notes"":""Primary-source Taiwan executive, legislative, election, defense, cross-strait, security, or legal information. Target specific release/index pages; some sites are dynamic."",""seed_batch"":""phase1-native-rss-v0.1""}"
phase1-rss-039,Public Television Service (公視 / PTS),Taiwan,zh-Hant,news,active,critical,https://news.pts.org.tw/,"{""inventory_version"":""0.1"",""inventory_date"":""2026-07-19"",""inventory_phase"":1,""inventory_ingestion_method"":""Native RSS"",""inventory_regions"":[""Taiwan""],""inventory_sections"":[""Major National / Political News""],""organization_type"":""Public broadcaster"",""orientation"":""Public broadcaster"",""language_english"":""Traditional Chinese / EN: Limited"",""official_status"":""No"",""topics"":[""Politics"",""society"",""public affairs"",""local""],""youtube_url"":null,""value_access_notes"":""High-value Taiwan national, cross-strait, investigative, technology, business, or political-perspective source. Harvest exact feed URLs from RSS page."",""seed_batch"":""phase1-native-rss-v0.1""}"
